arm,annualized_return,sharpe_ratio,max_drawdown,win_rate,turnover,avg_exposure,forecast_mse,rank_ic
MEM_SIM,0.1960684542827232,0.9718061197530897,-0.11163451568273632,0.5147821421159317,4.984388452579382,0.9305418991506889,0.02478381774077808,0.07565314688616749
MLP_MIX_SELECTED,0.16575130697749105,0.9102409639579861,-0.12124429824358955,0.5222430562010328,5.187738094028515,0.9331421317191142,0.02519121062424443,0.030801980971655693
MLP_GATE,0.15366481041094915,0.8030219947017608,-0.12521312052849676,0.5235746747959295,5.228154603508255,0.9342750212134325,0.0244214504750238,0.09297156640295251
MLP_BASE,0.14864088788244056,0.75784726444777,-0.15027656305164752,0.5128262377675556,5.337234428718802,0.9384877322815457,0.027601944179170626,-0.019228156342330376
TRANS_GATE,0.12080793093729277,0.6860893706261671,-0.14700489660280033,0.5218156108803393,5.125703289844081,0.9273722464305454,0.025248111432625144,0.06526492331389773
TRANS_MIX_SELECTED,0.10251793188683418,0.553363214464004,-0.1647500979119115,0.5130870378230691,5.644218388217918,0.9372545447889801,0.03282707888219087,0.02084992227836184
TRANS_BASE,0.03712136986680257,0.2752051300052174,-0.18470369310802973,0.5031079396662628,5.863978313932233,0.9337979947234442,0.057302843054963436,0.009058663757999838
HIST_PRIOR,0.14457360398956817,0.873597046350535,-0.1554950591681623,0.5259508749276532,4.876047928696023,0.9354041453333242,0.026501734585811666,0.0
MEM_RANDOM,0.1293568910238395,0.7872038199697319,-0.15218669558440037,0.5250350129774115,4.868533636014851,0.9328688298141482,0.026710789961119457,-0.0041917671079976055
BENCH_MOMENTUM_21,0.06630600120362361,0.32313796670067974,-0.12965923016489847,0.5013372431241014,5.516906849981129,0.9426996898414695,,
BENCH_EQUAL_WEIGHT,0.06539405061455121,0.3973960730084322,-0.10208153035144941,0.4978178381189167,0.0,1.0,,
