arm,annualized_return,sharpe_ratio
BENCH_EQUAL_WEIGHT,0.06539405061455189,0.39739607300843244
BENCH_MOMENTUM_21,0.06630600120362373,0.3231379667006799
HIST_PRIOR,0.14457360398956923,0.8735970463505351
MEM_RANDOM,0.12935689102384007,0.7872038199697321
MEM_SIM,0.196068454282723,0.97180611975309
MLP_BASE,0.14864088788243998,0.75784726444777
MLP_GATE,0.15366481041094968,0.803021994701761
MLP_MIX_SELECTED,0.16575130697749116,0.9102409639579863
TRANS_BASE,0.037121369866802534,0.2752051300052174
TRANS_GATE,0.12080793093729265,0.6860893706261674
TRANS_MIX_SELECTED,0.10251793188683433,0.5533632144640039
