draw_idx,C1,C2,C3,C4,C5,C_MLP_BASE,C_TRANS_BASE,C_TRANS_MIX,C_TRANS_MEM
1,-0.5227343285238462,-0.6870341764623213,-0.5983374764128511,0.2598632866584105,-0.18322267805150538,-0.33847418975444055,0.28934649331264195,-0.08016256453287518,0.2524980088755284
2,0.5059496617586844,0.3865367063335168,0.6038392851240405,-0.23246967758790693,-0.06695612005476503,0.3713696075361336,0.2514760370208646,-0.08811836594087241,-0.5726004178716407
3,0.3082970271733285,0.22294298898659015,0.32663094537362447,-0.2672899459089185,-0.20823406792494448,0.059340999464705946,0.9188722401930657,0.42392508958555514,-0.23085214331791548
4,0.09078514381061353,0.05218117417390311,-0.16568733208363717,0.2750736156631164,0.08803388507319809,0.10938628357947922,-0.011920550101005567,-0.2730191837871525,-0.06467143993628666
5,0.07188551159885093,-0.07683189570205573,0.0050229408545943155,0.18013711945541866,0.1284530534983772,0.18516006031001297,0.1598120893018412,-0.12714053586732554,-0.22313682750348462
6,0.6751686725130851,0.5911556810140005,0.6835385071579757,-0.06408750452824408,-0.07466649679803417,0.6194510026297316,0.779422954739768,0.39782712312962343,-0.3560874996699097
7,0.4110985893460647,0.31195149751482143,0.3539362923336393,-0.2998652704694277,-0.11710868737365698,0.054071021864211644,0.3268873200356893,0.04073325018280538,-0.25862818779785324
8,0.6337535764323814,0.51112791474836,0.45993571588111826,-0.3831002267153565,-0.24828034920733813,0.07683548916576172,0.484815061796341,0.09362602182684994,-0.5266457413541161
9,0.3471127031594722,0.26349199347960517,0.5692867151064129,-0.12297644366668314,-0.2649304284594203,0.4463102714397298,0.8711649375197675,0.3407022065291879,-0.35783877014675636
10,-0.38447308414485093,-0.47429463988703024,0.182287208090691,-0.10025717808469059,-0.3450739083646277,0.0820300300060004,0.765657650102223,0.2503917693492619,-0.31249023668157605
11,-0.0017120261586843766,0.025567816017300515,0.17964952756987174,-0.4595753670580839,-0.25545853794190687,-0.27992583948821215,0.3152268315423805,0.21254971588695437,-0.13720133890715192
12,0.9626371011377213,0.848887358326131,0.9498162863323631,-0.20322786601169252,-0.08051843811764492,0.7465884203206706,0.6141100058863171,0.23968844766941252,-0.6205190238565537
13,-0.6732683301539246,-0.8398964630678456,-0.8658588206385989,0.39824195557340847,-0.024065860118160254,-0.4676168650651904,0.2800087617443672,0.06814468147742092,0.2747772540698281
14,0.795718145479501,0.878963008715177,0.9423259952086959,-0.1061181793180912,-0.00260425184446178,0.8362078158906047,0.5625018082723446,0.14398822608541118,-0.5241331915034739
15,0.5199732165598447,0.48468272102511833,0.5795855856411719,-0.025842923641336668,0.24928110612092258,0.5537426619998352,0.336622533654943,-0.0444794807417741,-0.5121900954256484
16,0.4215749230659954,0.29399298416949304,-0.09671453767839577,0.15654330643155845,0.09442143327552688,0.059828768753162676,0.7500567234505662,0.1526217430565585,-0.29155197722107773
17,0.21887418820614868,-0.02009992997186094,-0.027316242732650542,-0.09949435826760755,-0.34704407511885893,-0.1268106010002581,0.2097650714620405,-0.08025311182675021,-0.062473906721149275
18,-0.5334291594773599,-0.630145149130948,-0.21137516040572923,0.03358349624348378,-0.2966624951466259,-0.17779166416224546,0.9919887923899483,0.4537102065033016,-0.10088648938687816
19,0.08910249274053883,-0.006362610478744868,0.2718007873097703,-0.10686310796022291,-0.14378566149428895,0.1649376793495474,1.018872561216809,0.8209408361360863,-0.1347153827335339
20,0.532503687013379,0.5127789685173834,0.5429946277097522,-0.2025490034320392,-0.09612686057416231,0.34044562427771297,0.6982727407592916,0.24938161317419538,-0.6773624659315384
21,0.8674654371978152,0.7241716172775435,1.0908886002555567,-0.3836330553634755,-0.05459604383862926,0.7072555448920812,0.7668318299059078,0.2606057450003995,-0.7526701076484674
22,0.26130070749694434,0.14652930373022544,0.47144664729711594,-0.4787589720793274,-0.31572992883121986,-0.0073123247822114434,0.49895692615937226,0.31298544463397354,-0.411523280351191
23,-0.3761567675083548,-0.4259375314302527,-0.1042961324699272,0.13645622782664013,0.012289158542776235,0.03216009535671294,0.5898380619592494,0.15085737384802655,0.03429559684992389
24,0.45022454742558105,0.39291697502571954,0.8022966641732103,-0.49476438270318146,-0.2558651950396148,0.3075322814700288,0.6619358460228467,0.39292972057317244,-0.540428422187272
25,0.12319347639418854,0.1439638890779712,0.8143343236902401,-0.29175015400892435,0.17062591409280858,0.5225841696813157,0.6464420234723313,0.29148567335019965,-0.48414368663875773
26,-0.6058534079849289,-0.7402887005745732,-0.5250093788851626,0.019211281775053934,-0.07391095547826879,-0.5057980971101087,0.10254509121295813,0.024553692829779455,0.14949984004365144
27,0.06277133880733499,0.022728583567199756,-0.21660725353475452,0.09410651851440455,-0.10316027778096859,-0.12250073502034997,0.21292054453328313,-0.03439434464033253,-0.09367801532182263
28,-0.1972673163296691,-0.33524895988644676,-0.3688732903825276,-0.26488523475153214,-0.21977167372080736,-0.6337585251340597,0.35649759472988474,0.2185517640202569,-0.27060021598955286
29,0.11754110285284147,0.11761527127175953,0.2614673942153425,-0.16306600350212053,-0.013257607638033075,0.09840139071322196,0.2167642623073205,0.00927504653040978,-0.2677091367239165
30,0.002356886018179738,-0.08903885890663243,0.07556118142834989,-0.3045794029336627,-0.24152512053503117,-0.2290182215053128,1.1062322944370417,0.790583556898778,-0.436841483932663
31,-0.34292903918173323,-0.5349323015376186,-0.2773084147966103,0.045827441606916874,-0.1001512400687452,-0.2314809731896934,0.33707556040774145,0.06566349013588857,0.06366562145701304
32,0.17471697419412635,0.04412596332407759,0.4460688683773306,-0.08629916492712342,-0.03761898560957744,0.3597697034502072,0.6688125846575427,0.2738242287384465,-0.5440437054301321
33,-0.1584494576339699,-0.37693515489964113,0.01864902332830365,-0.033904265684825186,-0.10076345183546898,-0.015255242356521537,0.6274454565961628,0.3301402021719586,-0.14836892437551552
34,0.4036853156166077,0.1509889724900646,0.17227812077046933,0.01796020122875719,-0.014980355655386024,0.19023832199922652,0.5440804824216552,0.10948438433202157,-0.3032315388655935
35,0.5941690925680005,0.5548822202346292,0.5732117557030165,-0.49018434706488107,-0.2830078919020786,0.08302740863813551,0.33910426902517754,0.1294890045274244,-0.3804268496245228
36,0.14285192724705498,0.014810583138137101,0.24899208409325402,-0.09607513008870128,0.0020775294580526182,0.15291695400455274,0.4828859863943448,0.11814597653840553,-0.33861968446121093
37,0.31483599903273995,0.1811696150962891,0.4331217244696648,-0.3530770870269617,-0.010206135231217772,0.08004463744270307,0.38787887859450915,0.08316628239860474,-0.3500573364651232
38,0.3093668303989745,0.12399965785889355,1.0351872498368355,-0.492346469153097,0.051984859003535444,0.5428407806837385,1.0388793074527736,0.6945560911728614,-0.6169243481901059
39,-0.4446958325923791,-0.7123209938237123,-0.27302136237154606,-0.2207728908682709,-0.5369514652707894,-0.49379425323981696,1.13087958644176,0.7665730148419155,-0.033862410721895664
40,0.7291158688184375,0.5690629586465275,0.6038321663883631,-0.29809759104902717,-0.044466217603235436,0.305734575339336,0.039846776406061823,-0.23912986512365103,-0.44662160066147727
41,0.1291908437006445,0.18302794470565636,0.6719257524630599,-0.3691927517875317,-0.21110065355845187,0.30273300067552816,0.5427855391682195,0.2673794392003228,-0.35307638431957383
42,-0.9669711529985164,-1.0601904058250446,-0.6644521205241066,0.031192491184247495,-0.21318156966114477,-0.6332596293398591,0.3156520491309298,0.18873625110473147,0.12466996023319943
43,0.8423205943718384,0.718793237036295,0.770844564007376,-0.3462921228672019,0.017472661911865583,0.4245524411401741,0.3511611778564942,-0.0396631677282232,-0.5101074532123026
44,0.7466242415490136,0.5694888705548773,0.40132184208853483,-0.13753008626777208,0.0172897585354429,0.26379175582076275,-0.08774197672770057,-0.30456494410025314,-0.3849807679797549
