arm,market,n_realizations,sharpe_ratio,annualized_return,max_drawdown,win_rate
BENCH_EQUAL_WEIGHT,Brazil,1,-0.8449185419405415,-0.1268863817301613,-0.1408858051262002,0.4820717131474104
BENCH_EQUAL_WEIGHT,China,1,0.7096620309260016,0.14966999797281488,-0.12385391569154783,0.47520661157024796
BENCH_EQUAL_WEIGHT,France,1,-0.2843150623674661,-0.04589859572798638,-0.12466369970817913,0.4921875
BENCH_EQUAL_WEIGHT,India,1,1.4996219457899318,0.15187356445196198,-0.06162148848321442,0.5528455284552846
BENCH_EQUAL_WEIGHT,UK,1,-0.3675068507100026,-0.04953370989870287,-0.06264665403504228,0.4409448818897638
BENCH_EQUAL_WEIGHT,US,1,1.67183291635267,0.31313942861938093,-0.09881761906451265,0.5436507936507936
BENCH_MOMENTUM_21,Brazil,1,-0.6737372246992138,-0.11492979495566913,-0.14644181833560524,0.43824701195219123
BENCH_MOMENTUM_21,China,1,0.805722787610051,0.19742774596235457,-0.13347688575984323,0.45041322314049587
BENCH_MOMENTUM_21,France,1,0.6350162400577867,0.0973083806738313,-0.14273786550043838,0.53125
BENCH_MOMENTUM_21,India,1,0.4685549191361032,0.06496283735116593,-0.10895868400559708,0.540650406504065
BENCH_MOMENTUM_21,UK,1,-0.41700289256350753,-0.06315927271699995,-0.14019687715043558,0.5196850393700787
BENCH_MOMENTUM_21,US,1,1.120273970662859,0.2162261109070589,-0.10614325023747125,0.5277777777777778
HIST_PRIOR,Brazil,1,0.209161873069363,0.019643275092844803,-0.16889083411475211,0.5139442231075697
HIST_PRIOR,China,1,0.7620662364873662,0.14813651359280877,-0.16531739193639264,0.4628099173553719
HIST_PRIOR,France,1,0.4440007301382431,0.052089997328650606,-0.08324209637087128,0.51953125
HIST_PRIOR,India,1,2.171703670762984,0.3696360681707205,-0.0805830568985274,0.5447154471544715
HIST_PRIOR,UK,1,0.5020634689140608,0.14256944516300107,-0.33180373221302634,0.547244094488189
HIST_PRIOR,US,1,1.1525862987311923,0.13536632458938325,-0.1031332434754041,0.5674603174603174
MEM_RANDOM,Brazil,3,-0.10488555726739048,-0.02466094809704818,-0.1432800036876852,0.5033200531208499
