gate_bin,query_count,mean_gate_weight,mean_accuracy_advantage,memory_win_pct,base_mse,memory_mse,gated_mse
"[0.0, 0.2)",7,0.1917,-0.025287,42.86,0.041203,0.06649,0.04332
"[0.2, 0.4)",5081,0.3422,-0.001979,38.83,0.018013,0.019992,0.018245
"[0.4, 0.6)",6878,0.5074,0.000442,54.84,0.015832,0.01539,0.015449
"[0.6, 0.8)",10398,0.6935,0.000866,55.44,0.030114,0.029247,0.028751
"[0.8, 1.0]",3389,0.8832,0.022482,69.76,0.060194,0.037712,0.038482
