date,market,arm,system_id,seed,equity,return,calendar_week,run_id
2024-01-02,Brazil,BENCH_EQUAL_WEIGHT,BENCH_EQUAL_WEIGHT,fixed,98773.37392772484,-0.012266260722751613,2024-01-01,BENCH_EQUAL_WEIGHT_Brazil_fixed
2024-01-03,Brazil,BENCH_EQUAL_WEIGHT,BENCH_EQUAL_WEIGHT,fixed,98713.28753627586,-0.0006083257973240993,2024-01-01,BENCH_EQUAL_WEIGHT_Brazil_fixed
2024-01-04,Brazil,BENCH_EQUAL_WEIGHT,BENCH_EQUAL_WEIGHT,fixed,97264.45229495812,-0.01467720585017818,2024-01-01,BENCH_EQUAL_WEIGHT_Brazil_fixed
2024-01-05,Brazil,BENCH_EQUAL_WEIGHT,BENCH_EQUAL_WEIGHT,fixed,97939.19679034996,0.006937215801572167,2024-01-01,BENCH_EQUAL_WEIGHT_Brazil_fixed
2024-01-08,Brazil,BENCH_EQUAL_WEIGHT,BENCH_EQUAL_WEIGHT,fixed,99185.9370418911,0.012729737351327555,2024-01-08,BENCH_EQUAL_WEIGHT_Brazil_fixed
2024-01-09,Brazil,BENCH_EQUAL_WEIGHT,BENCH_EQUAL_WEIGHT,fixed,98477.79624713707,-0.0071395282020166395,2024-01-08,BENCH_EQUAL_WEIGHT_Brazil_fixed
2024-01-10,Brazil,BENCH_EQUAL_WEIGHT,BENCH_EQUAL_WEIGHT,fixed,98430.93483794975,-0.0004758576143368891,2024-01-08,BENCH_EQUAL_WEIGHT_Brazil_fixed
2024-01-11,Brazil,BENCH_EQUAL_WEIGHT,BENCH_EQUAL_WEIGHT,fixed,97898.16688216972,-0.00541260688682012,2024-01-08,BENCH_EQUAL_WEIGHT_Brazil_fixed
2024-01-12,Brazil,BENCH_EQUAL_WEIGHT,BENCH_EQUAL_WEIGHT,fixed,98492.04660762596,0.006066300773241563,2024-01-08,BENCH_EQUAL_WEIGHT_Brazil_fixed
2024-01-15,Brazil,BENCH_EQUAL_WEIGHT,BENCH_EQUAL_WEIGHT,fixed,98655.74725116539,0.0016620696713875963,2024-01-15,BENCH_EQUAL_WEIGHT_Brazil_fixed
2024-01-16,Brazil,BENCH_EQUAL_WEIGHT,BENCH_EQUAL_WEIGHT,fixed,97008.01253951836,-0.016701862360355996,2024-01-15,BENCH_EQUAL_WEIGHT_Brazil_fixed
2024-01-17,Brazil,BENCH_EQUAL_WEIGHT,BENCH_EQUAL_WEIGHT,fixed,96380.19254745293,-0.006471836455877017,2024-01-15,BENCH_EQUAL_WEIGHT_Brazil_fixed
2024-01-18,Brazil,BENCH_EQUAL_WEIGHT,BENCH_EQUAL_WEIGHT,fixed,94794.05381931114,-0.016457102711854896,2024-01-15,BENCH_EQUAL_WEIGHT_Brazil_fixed
2024-01-19,Brazil,BENCH_EQUAL_WEIGHT,BENCH_EQUAL_WEIGHT,fixed,95118.19065250206,0.0034193793822633826,2024-01-15,BENCH_EQUAL_WEIGHT_Brazil_fixed
2024-01-22,Brazil,BENCH_EQUAL_WEIGHT,BENCH_EQUAL_WEIGHT,fixed,93620.21868289757,-0.015748533054808358,2024-01-22,BENCH_EQUAL_WEIGHT_Brazil_fixed
2024-01-23,Brazil,BENCH_EQUAL_WEIGHT,BENCH_EQUAL_WEIGHT,fixed,94724.62871707726,0.01179670427731483,2024-01-22,BENCH_EQUAL_WEIGHT_Brazil_fixed
2024-01-24,Brazil,BENCH_EQUAL_WEIGHT,BENCH_EQUAL_WEIGHT,fixed,94131.69555343437,-0.006259545924575236,2024-01-22,BENCH_EQUAL_WEIGHT_Brazil_fixed
2024-01-25,Brazil,BENCH_EQUAL_WEIGHT,BENCH_EQUAL_WEIGHT,fixed,94727.04001010704,0.006324590810485486,2024-01-22,BENCH_EQUAL_WEIGHT_Brazil_fixed
2024-01-26,Brazil,BENCH_EQUAL_WEIGHT,BENCH_EQUAL_WEIGHT,fixed,94879.75993026543,0.0016122104115371023,2024-01-22,BENCH_EQUAL_WEIGHT_Brazil_fixed
2024-01-29,Brazil,BENCH_EQUAL_WEIGHT,BENCH_EQUAL_WEIGHT,fixed,94596.08543742943,-0.002989831477698649,2024-01-29,BENCH_EQUAL_WEIGHT_Brazil_fixed
2024-01-30,Brazil,BENCH_EQUAL_WEIGHT,BENCH_EQUAL_WEIGHT,fixed,93727.3983990078,-0.00918311824854765,2024-01-29,BENCH_EQUAL_WEIGHT_Brazil_fixed
2024-01-31,Brazil,BENCH_EQUAL_WEIGHT,BENCH_EQUAL_WEIGHT,fixed,94280.84433044243,0.005904846831217393,2024-01-29,BENCH_EQUAL_WEIGHT_Brazil_fixed
2024-02-01,Brazil,BENCH_EQUAL_WEIGHT,BENCH_EQUAL_WEIGHT,fixed,94951.76936591911,0.007116239149547465,2024-01-29,BENCH_EQUAL_WEIGHT_Brazil_fixed
