contrast_id,candidate,comparator,candidate_metric,comparator_metric,delta_original,ci_lower,ci_upper,p_raw,p_holm,statistically_significant,delta_return_original,ci_ret_lower,ci_ret_upper,p_ret_raw,block_length_weeks,n_markets,inference_method
C1,MEM_SIM,MEM_RANDOM,0.97180611975309,0.7872038199697321,0.18460229978335785,-0.648355874049597,1.0175604736163129,0.6606339366063394,1.0,False,0.06671156325888292,-0.10056705017367448,0.23399017669144032,0.43525647435256476,4,6,"First-order centered synchronized calendar-week block bootstrap (10,000 draws)"
C2,MEM_SIM,HIST_PRIOR,0.97180611975309,0.8735970463505351,0.0982090734025548,-0.7586043499486039,0.9550224967537135,0.8184181581841816,1.0,False,0.05149485029315376,-0.12066482466980466,0.22365452525611218,0.5534446555344466,4,6,"First-order centered synchronized calendar-week block bootstrap (10,000 draws)"
C3,MEM_SIM,MLP_BASE,0.97180611975309,0.75784726444777,0.21395885530532,-0.7030281181850915,1.1309458287957315,0.6517348265173483,1.0,False,0.047427566400283006,-0.15617848675114415,0.25103361955171016,0.6467353264673532,4,6,"First-order centered synchronized calendar-week block bootstrap (10,000 draws)"
C4,MLP_GATE,MEM_SIM,0.803021994701761,0.97180611975309,-0.1687841250513289,-0.5663131287029524,0.22874487860029463,0.39966003399660033,1.0,False,-0.04240364387177331,-0.1239505948195584,0.03914330707601178,0.3016698330166983,4,6,"First-order centered synchronized calendar-week block bootstrap (10,000 draws)"
C5,MLP_GATE,MLP_MIX_SELECTED,0.803021994701761,0.9102409639579863,-0.1072189692562252,-0.41474498484514094,0.20030704633269053,0.4951504849515049,1.0,False,-0.012086496566541483,-0.06875463871758924,0.04458164558450627,0.6673332666733327,4,6,"First-order centered synchronized calendar-week block bootstrap (10,000 draws)"
